Submission Date,Open,High,Low,Close,Volume,Amplitude,Daily Change,Daily Change %,Ticker,Total Cases,Daily New Cases,Total Deaths,Daily New Deaths
2020-01-22,324.02440645438094,324.71687110349563,322.9808878838227,323.14666748046875,48914900,1.7359832196729599,-0.8777389739121872,-0.27,SPY,33,33,0,0
2020-01-23,322.4542298964593,323.95615731397476,321.2643967044174,323.51727294921875,51963000,2.6917606095573774,1.0630430527594399,0.33,SPY,35,2,0,0
2020-01-24,324.2194594582929,324.3072303757813,319.2650605207031,320.64019775390625,87578400,5.042169855078157,-3.5792617043866244,-1.1,SPY,36,1,0,0
2020-01-27,315.042200675856,317.0805161517614,314.6813546974684,315.5005798339844,84062500,2.3991614542929938,0.45837915812836627,0.15,SPY,43,1,0,0
2020-01-28,317.0219674492371,319.7429851221418,315.59807842252127,318.8067321777344,63834000,4.144906699620549,1.7847647284972936,0.56,SPY,44,1,0,0
2020-01-29,320.2599152462082,320.50373331558217,318.32886542210485,318.5434265136719,53888900,2.1748678934773125,-1.7164887325363338,-0.54,SPY,45,1,0,0
2020-01-30,316.33929840143503,319.8015328088434,315.5395977619218,319.57720947265625,75491800,4.261935046921565,3.2379110712212196,1.02,SPY,47,2,0,0
2020-01-31,318.9140270918076,319.07983647070193,312.79908077324035,313.77435302734375,113845600,6.280755697461586,-5.139674064463861,-1.61,SPY,51,4,0,0
2020-02-03,315.35427572075275,318.0947882555932,315.2274855711142,316.105224609375,69083000,2.867302684479,0.7509488886222471,0.24,SPY,545,29,187,0
2020-02-04,319.9575552394076,321.84958567331864,319.61620401954724,320.9230651855469,62573200,2.233381653771403,0.9655099461392638,0.3,SPY,553,8,187,0
2020-02-05,324.053712794015,324.8534432142078,322.4933009417682,324.6291198730469,65951100,2.360142272439589,0.5754070790318906,0.18,SPY,558,5,187,0
2020-02-06,325.653159346524,325.92623438498094,324.57059167635555,325.721435546875,50359700,1.3556427086253962,0.068276200351022,0.02,SPY,560,2,187,0
2020-02-07,324.5900765545177,325.7311282762224,323.4002433686814,323.98541259765625,64139400,2.3308849075410194,-0.6046639568614296,-0.19,SPY,565,5,187,0
2020-02-10,323.039412117659,326.4723594470727,323.00039289717,326.4040832519531,42070000,3.4719665499026746,3.364671134294099,1.04,SPY,617,9,188,0
2020-02-11,327.8474960800644,328.68621585964496,326.40408255450296,326.9697570800781,54864500,2.282133305141997,-0.8777389999862635,-0.27,SPY,628,11,188,0
2020-02-12,328.5008877335763,329.30061799718834,328.1107848468936,329.0763244628906,43992700,1.18983315029476,0.5754367293143332,0.18,SPY,638,10,188,0
2020-02-13,327.5548812726131,329.75900579694235,327.26231154059735,328.7252197265625,54501900,2.4966942563449948,1.1703384539493982,0.36,SPY,644,6,188,0
2020-02-14,329.164151675128,329.3787127639399,327.8865473890494,329.2519226074219,64582200,1.4921653748905328,0.08777093229389266,0.03,SPY,652,8,188,0
2020-02-18,328.1888507951302,329.3201700954118,326.92097910344364,328.4034118652344,57226200,2.399190991968169,0.214561070104196,0.07,SPY,695,7,188,0
2020-02-19,329.4371840063319,330.695263635711,329.13485202442433,329.97357177734375,48814700,1.5604116112866677,0.5363877710118459,0.16,SPY,712,17,189,1
2020-02-20,329.38845515779536,330.2662240330376,325.42885202391244,328.6180114746094,74163400,4.837372009125147,-0.770443683185988,-0.23,SPY,726,14,189,0
2020-02-21,327.17457738667963,327.50616637454027,324.3560263454442,325.2337951660156,113788200,3.1501400290960646,-1.9407822206640049,-0.59,SPY,745,19,189,0
2020-02-24,315.1494933624793,325.3118136760255,313.2964522523599,314.4472961425781,161088400,12.015361423665581,-0.7021972199011657,-0.22,SPY,814,19,189,0
2020-02-25,315.9296538422726,316.5830694973033,303.98257033791947,304.9188232421875,218913200,12.600499159383844,-11.010830600085114,-3.49,SPY,838,24,189,0
2020-02-26,306.41102470176514,310.2438374553743,303.0170963605923,303.79730224609375,194773800,7.226741094782028,-2.613722455671393,-0.85,SPY,882,44,189,0
2020-02-27,297.9066245449798,303.85579065130236,290.1532287597656,290.1532287597656,284353500,13.702561891536732,-7.753395785214195,-2.6,SPY,919,37,190,1
2020-02-28,281.56111756937986,290.52387215358164,278.47925361023044,288.9341735839844,384975800,12.044618543351191,7.373056014604515,2.62,SPY,970,51,190,0
2020-03-02,290.83590301482917,301.5151450909119,287.1786324083549,301.4468688964844,238703600,14.336512682557043,10.610965881655204,3.65,SPY,1175,79,197,6
2020-03-03,301.8467655472551,306.0794435992073,290.2117745870386,292.81573486328125,300139100,15.867669012168733,-9.031030683973825,-2.99,SPY,1346,171,200,3
