Submission Date,Open,High,Low,Close,Volume,Amplitude,Daily Change,Daily Change %,Ticker,Total Cases,Daily New Cases,Total Deaths,Daily New Deaths
2020-01-22,56.18589240212307,56.22047122571586,55.85986403236383,55.91913986206055,4542800,0.3606071933520312,-0.2667525400625266,-0.47,XLC,33,33,0,0
2020-01-23,55.82034321854481,55.84998113281895,55.533830817864654,55.6919059753418,1985600,0.31615031495429236,-0.12843724320300964,-0.23,XLC,35,2,0,0
2020-01-24,55.830223886989685,55.830223886989685,54.76321746614958,55.02008819580078,3175800,1.0670064208401087,-0.8101356911889042,-1.45,XLC,36,1,0,0
2020-01-27,53.992599770075856,54.36802591910915,53.85428070753775,54.160552978515625,5708800,0.5137452115714041,0.16795320843976924,0.31,XLC,43,1,0,0
2020-01-28,54.50633989359247,55.00526613573272,54.24946917842849,54.78297424316406,6526600,0.7557969573042271,0.2766343495715944,0.51,XLC,44,1,0,0
2020-01-29,55.089247317695445,55.089247317695445,54.49646637569293,54.694061279296875,5983800,0.5927809420025127,-0.39518603839857036,-0.72,XLC,45,1,0,0
2020-01-30,53.45909819668033,54.17043834683983,53.32473260607355,54.14079666137695,3163200,0.8457057407662774,0.6816984646966233,1.28,XLC,47,2,0,0
2020-01-31,54.14079464918475,54.14079464918475,53.14294588123861,53.26150131225586,3635500,0.9978487679461381,-0.8792933369288889,-1.62,XLC,51,4,0,0
2020-02-03,53.69621154349629,54.15068097639261,53.69621154349629,53.89380645751953,5905700,0.45446943289631747,0.19759491402324159,0.37,XLC,545,29,187,0
2020-02-04,54.11115527713293,54.48757262351017,53.686327577879496,54.45694351196289,3504000,0.8012450456306723,0.3457882348299606,0.64,XLC,553,8,187,0
2020-02-05,54.93117593566855,54.98057749158239,54.25935547838373,54.545867919921875,3771700,0.7212220131986555,-0.3853080157466735,-0.7,XLC,558,5,187,0
2020-02-06,54.812619881648274,55.32142424388679,54.812619881648274,55.227569580078125,1998100,0.5088043622385143,0.41494969842985086,0.76,XLC,560,2,187,0
2020-02-07,55.04973020271671,55.38564040118762,54.881773219076635,55.188045501708984,2698600,0.5038671821109872,0.1383152989922749,0.25,XLC,565,5,187,0
2020-02-10,55.059614366501265,55.52396186652388,55.02009462845473,55.51408004760742,4420500,0.503867238069148,0.45446568110615715,0.83,XLC,617,9,188,0
2020-02-11,55.80058790956592,55.87962737916356,55.385642000606346,55.45479965209961,1703300,0.4939853785572126,-0.34578825746631026,-0.62,XLC,628,11,188,0
2020-02-12,55.73142638298268,56.25504964182603,55.71166651695721,56.1760139465332,1730200,0.5433831248688179,0.4445875635505203,0.8,XLC,638,10,188,0
2020-02-13,55.859869425909544,56.39831169795918,55.731432167816905,56.18589782714844,2761600,0.6668795301422747,0.32602840123889365,0.58,XLC,644,6,188,0
2020-02-14,56.23529079279686,56.343968173497835,56.02288070900205,56.25505065917969,2111700,0.3210874644957826,0.01975986638282734,0.04,XLC,652,8,188,0
2020-02-18,56.13649635690828,56.744100011751115,56.126618307923096,56.6304817199707,2952900,0.6174817038280196,0.49398536306242136,0.88,XLC,695,7,188,0
2020-02-19,56.83795425345,57.05530901763135,56.62060325807785,56.88735580444336,4301800,0.434705759553502,0.04940155099335897,0.09,XLC,712,17,189,1
2020-02-20,56.64036884728742,56.684825725102044,55.78083152144232,56.30445861816406,2939000,0.903994203659721,-0.3359102291233569,-0.59,XLC,726,14,189,0
2020-02-21,56.04758237007646,56.13649989177913,55.286844410800164,55.44491958618164,2927400,0.8496554809789671,-0.6026627838948215,-1.08,XLC,745,19,189,0
2020-02-24,53.74560720357541,54.12103335335087,53.20222030740996,53.58753204345703,5297200,0.9188130459409081,-0.1580751601183792,-0.29,XLC,814,19,189,0
2020-02-25,53.77525122316711,54.00248405608326,52.0561803640147,52.15497970581055,13048800,1.946303692068561,-1.6202715173565636,-3.01,XLC,838,24,189,0
2020-02-26,52.46124307133816,53.11429478447603,51.7696665909956,52.056175231933594,6991500,1.3446281934804318,-0.40506783940456614,-0.77,XLC,882,44,189,0
2020-02-27,51.05832616423232,51.77954432420028,50.00119781494141,50.001197814941406,8635300,1.778346509258867,-1.0571283492909131,-2.07,XLC,919,37,190,1
2020-02-28,48.60816298872364,50.23831250970805,48.45008781513468,50.14939498901367,17880300,1.7882246945733726,1.5412320002900302,3.17,XLC,970,51,190,0
2020-03-02,50.67302195442324,51.88822555541993,49.83324453438496,51.88822555541992,7324000,2.054981021034969,1.2152036009966807,2.4,XLC,1175,79,197,6
2020-03-03,51.957381779098576,52.56992258748617,49.87276289816913,50.17903518676758,9167600,2.69715968931704,-1.7783465923309976,-3.42,XLC,1346,171,200,3
2020-03-04,51.03856759205961,52.01666026979722,50.55446027768641,51.98701858520508,3398100,1.4621999921108113,0.948450993145471,1.86,XLC,1489,143,202,2
2020-03-05,50.82121466185699,51.13736500432505,49.7146884632188,50.090118408203125,4009100,1.4226765411062487,-0.7310962536538668,-1.44,XLC,1656,167,205,3
2020-03-06,48.48960687070761,49.477577633985504,48.03513745530466,49.220703125,6736400,1.4424401786808474,0.7310962542923889,1.51,XLC,1872,216,209,4
2020-03-09,45.99003727918006,47.62019051075005,44.45868338308026,45.94063949584961,6080000,3.161507127669786,-0.04939778333044842,-0.11,XLC,3090,600,223,4
2020-03-10,47.4818772714655,48.301891063020335,45.82208605159441,48.28213119506836,5108100,2.479805011425924,0.8002539236028596,1.69,XLC,3763,673,229,6
2020-03-11,47.116321061405834,47.35343568634912,45.52569140914583,46.20738983154297,5854600,1.8277442772032941,-0.9089312298628656,-1.93,XLC,4627,864,243,14
2020-03-12,43.23359802157018,44.843991386666524,40.55619821464969,41.870201110839844,9472200,4.287793172016833,-1.3633969107303372,-3.15,XLC,5774,1147,250,7
2020-03-13,44.4685630764942,45.69364849995842,42.117195337498586,45.634368896484375,7604700,3.576453162459835,1.165805819990176,2.62,XLC,7119,1345,261,11
2020-03-16,39.03472324368253,43.164441340433726,38.63953719920294,40.48704147338867,19813500,4.524904141230785,1.4523182297061439,3.72,XLC,14742,2917,316,21
2020-03-17,41.29717732471723,42.937208647894884,39.667027819747105,42.245628356933594,14016600,3.2701808281477796,0.9484510322163615,2.3,XLC,18764,4022,348,32
2020-03-18,39.81521816270729,41.18849682257356,38.21470669577334,40.842708587646484,18094800,2.9737901268002247,1.0274904249391952,2.58,XLC,24854,6090,419,71
2020-03-19,40.51667841754646,42.99648708721925,39.71642452962302,41.57381057739258,14289200,3.2800625575962314,1.0571321598461196,2.61,XLC,32039,7185,484,65
2020-03-20,42.35430735303909,42.4037051395248,39.56822998457832,39.73618698120117,10077800,2.8354751549464794,-2.618120371837918,-6.18,XLC,40311,8272,586,102
2020-03-23,39.64007703221343,40.78935184445516,38.6691382925116,39.94721221923828,15113800,2.1202135519435643,0.30713518702484777,0.77,XLC,73379,11415,1007,171
2020-03-24,41.92872379636336,42.4042854309082,41.0865841104996,42.4042854309082,6497900,1.3177013204086023,0.4755616345448459,1.13,XLC,85608,12229,1241,234
2020-03-25,42.26557797009442,43.54365191457948,41.03704098435259,41.75038528442383,5291400,2.506610930226884,-0.5151926856705913,-1.22,XLC,100464,14856,1553,312
2020-03-26,42.08724153067991,44.31643866967415,41.97825795473177,44.128196716308594,4691000,2.338180714942382,2.0409551856286825,4.85,XLC,119910,19446,1906,353
2020-03-27,42.87984339786694,43.52879001172638,42.19622431532257,42.36465072631836,3378100,1.3325656964038117,-0.5151926715485828,-1.2,XLC,140607,20697,2410,504
2020-03-30,42.760953932847116,44.058843380792105,42.29529821880815,43.91022872924805,3025600,1.7635451619839557,1.149274796400931,2.69,XLC,204520,21727,4320,785
2020-03-31,43.90032708174988,44.61862248146229,43.54266469707824,43.83097457885742,4777200,1.0759577843840518,-0.06935250289245687,-0.16,XLC,227644,23124,5330,1010
2020-04-01,42.55289785595229,43.04827500496354,41.69094267491246,42.087242126464844,5481200,1.3573323300510793,-0.4656557294874446,-1.09,XLC,256277,28633,6470,1140
2020-04-02,41.90890906270347,42.88975755119323,41.84946621938335,42.62225341796875,4537200,1.0402913318098754,0.7133443552652778,1.7,XLC,286513,30236,7819,1349
2020-04-03,42.542985017815035,42.7114152011967,41.20546832719076,41.760292053222656,3071800,1.505946874005943,-0.7826929645923784,-1.84,XLC,318258,31745,9213,1394
2020-04-06,43.32568900820832,44.752373968787445,43.07800041078241,44.51459503173828,3294700,1.674373558005037,1.1889060235299596,2.74,XLC,406598,28541,14460,1741
2020-04-07,45.88183250300481,46.020537498813276,44.70283247977746,44.84153747558594,3694300,1.317705019035813,-1.0402950274188711,-2.27,XLC,436730,30132,16591,2131
2020-04-08,45.336910841692436,46.01062400469251,44.87125893449192,45.80256652832031,2628200,1.13936507020059,0.46565568662787626,1.03,XLC,470181,33451,18815,2224
2020-04-09,46.36730021922546,46.62489845223337,45.653959697311514,46.139427185058594,3256500,0.9709387549218533,-0.2278730341668691,-0.49,XLC,505025,34844,21057,2242
2020-04-13,46.02053263216363,46.29794259444459,45.13876201254718,46.20877456665039,2606200,1.1591805818974095,0.1882419344867614,0.41,XLC,622159,25232,29391,1966
