Submission Date,Open,High,Low,Close,Volume,Amplitude,Daily Change,Daily Change %,Ticker,Total Cases,Daily New Cases,Total Deaths,Daily New Deaths
2020-01-22,29.837678278026747,29.905337115634246,29.789349220046347,29.828012466430664,27391000,0.11598789558789946,-0.009665811596082818,-0.03,XLF,33,33,0,0
2020-01-23,29.673363901740903,29.81834739213691,29.470385540334405,29.750688552856445,43072300,0.3479618518025056,0.07732465111554276,0.26,XLF,35,2,0,0
2020-01-24,29.760354810748225,29.760354810748225,29.190084808886795,29.373729705810547,58924900,0.5702700018614308,-0.38662510493767854,-1.3,XLF,36,1,0,0
2020-01-27,28.793793180382945,29.05476270642286,28.75512993589409,28.919445037841797,50289300,0.29963277052877046,0.12565185745885188,0.44,XLF,43,1,0,0
2020-01-28,29.07409898916763,29.383397620398362,29.025771769374803,29.25774574279785,34257900,0.3576258510235597,0.18364675363022087,0.63,XLF,44,1,0,0
2020-01-29,29.354398859310937,29.4607191000988,29.161086313862903,29.209413528442383,41167500,0.29963278623589673,-0.14498533086855403,-0.49,XLF,45,1,0,0
2020-01-30,28.948446681514724,29.5960413723705,28.929115056458674,29.576709747314453,51210000,0.6669263159118266,0.6282630657997288,2.17,XLF,47,2,0,0
2020-01-31,29.325402381604242,29.364063785816718,28.85178865771939,28.95810890197754,58958800,0.512275128097329,-0.3672934796267029,-1.25,XLF,51,4,0,0
2020-02-03,29.16108703613281,29.451054017921784,29.141755412396183,29.161087036132812,40168200,0.3092986055256013,3.552713678800501e-15,0.0,XLF,545,29,187,0
2020-02-04,29.557376986175193,29.72169210570544,29.431725115270964,29.441389083862305,79273300,0.2899669904344755,-0.11598790231288802,-0.39,XLF,553,8,187,0
2020-02-05,29.83767799385198,30.05998612774937,29.770017313323823,30.030988693237305,51086900,0.2899688144255457,0.19331069938532508,0.65,XLF,558,5,187,0
2020-02-06,30.195307084101678,30.224304521765955,29.93433567581891,29.99233055114746,37044400,0.289968845947044,-0.20297653295421725,-0.67,XLF,560,2,187,0
2020-02-07,29.82801237577616,29.9729958621466,29.760353538374293,29.886005401611328,27982500,0.2126423237723074,0.057993025835166634,0.19,XLF,565,5,187,0
2020-02-10,29.789350921719322,29.97299766540527,29.779685109571094,29.972997665405273,17723700,0.19331255583417573,0.18364674368595146,0.62,XLF,617,9,188,0
2020-02-11,30.05032156452753,30.214636679791433,30.05032156452753,30.07931900024414,27997400,0.16431511526390352,0.02899743571661162,0.1,XLF,628,11,188,0
2020-02-12,30.233965675289177,30.33062009881191,30.059984763244326,30.09864616394043,26964200,0.270635335567583,-0.1353195113487473,-0.45,XLF,638,10,188,0
2020-02-13,30.001993012272848,30.15664230874312,29.915002552562694,30.08898162841797,22758700,0.241639756180426,0.08698861614512055,0.29,XLF,644,6,188,0
2020-02-14,30.059986654405204,30.14697711590045,29.982662004583325,30.12764549255371,22080200,0.1643151113171264,0.06765883814850682,0.23,XLF,652,8,188,0
2020-02-18,30.040657266503512,30.117981922079426,29.692695394629293,29.866676330566406,37768900,0.4252865274501332,-0.17398093593710584,-0.58,XLF,695,7,188,0
2020-02-19,29.972995577847787,30.166306276653106,29.9343323319477,30.08898162841797,25643300,0.23197394470540544,0.11598605057018219,0.39,XLF,712,17,189,1
2020-02-20,29.982661479282232,30.233967047691692,29.828012182347955,30.030988693237305,50344300,0.4059548653437375,0.04832721395507278,0.16,XLF,726,14,189,0
2020-02-21,29.886007513951846,29.953666356135834,29.576708896216356,29.741024017333984,51128200,0.3769574599194776,-0.14498349661786136,-0.49,XLF,745,19,189,0
2020-02-24,28.803461154748295,29.054766748189724,28.639146029942946,28.774465560913086,70455400,0.41562071824677815,-0.028995593835208666,-0.1,XLF,814,19,189,0
2020-02-25,28.784129436773476,28.84212246410733,27.662921075971767,27.79823875427246,111826900,1.1792013881355636,-0.9858906825010152,-3.43,XLF,838,24,189,0
2020-02-26,27.981885721694926,28.242855268625256,27.595260620117188,27.595260620117188,95015700,0.6475946485080684,-0.38662510157773866,-1.38,XLF,882,44,189,0
2020-02-27,27.005661120780996,27.44061159918244,26.39672787002779,26.416059494018555,143536200,1.0438837291546506,-0.5896016267624411,-2.18,XLF,919,37,190,1
2020-02-28,25.517158925669847,25.95211124197742,25.10153823310153,25.7008056640625,192063500,0.8505730088758909,0.18364673839265322,0.72,XLF,970,51,190,0
2020-03-02,25.749131893331505,27.015325546264652,25.47849654561117,27.01532554626465,127115500,1.5368290006534835,1.2661936529331435,4.92,XLF,1175,79,197,6
2020-03-03,26.928338334165712,27.305295810278228,25.73946918627232,26.00044059753418,256525000,1.5658266240059078,-0.9278977366315324,-3.45,XLF,1346,171,200,3
2020-03-04,26.34840261398597,26.87034359561411,25.903784446943597,26.860679626464844,124408000,0.9665591486705125,0.5122770124788723,1.94,XLF,1489,143,202,2
2020-03-05,25.9714437091905,26.039102550910115,25.27551998049689,25.565488815307617,130265700,0.7635825704132237,-0.40595489388288186,-1.56,XLF,1656,167,205,3
2020-03-06,24.40561447682881,24.975884427930996,24.192972162892303,24.695581436157227,160606600,0.7829122650386928,0.2899669593284173,1.19,XLF,1872,216,209,4
2020-03-09,22.230859346288646,23.08143054489101,21.766911419778264,22.047212600708008,134165700,1.3145191251127457,-0.18364674558063854,-0.83,XLF,3090,600,223,4
2020-03-10,23.071768026175103,23.361735037576047,22.076211424852026,23.342403411865234,149282300,1.2855236127240204,0.2706353856901309,1.17,XLF,3763,673,229,6
2020-03-11,22.627146459814263,22.859120402864626,21.766909523890202,22.076208114624023,146915400,1.0922108789744236,-0.5509383451902394,-2.43,XLF,4627,864,243,14
2020-03-12,20.239744837856723,21.4672732977076,19.621145859024317,19.688806533813477,161437500,1.8461274386832827,-0.5509383040432461,-2.72,XLF,5774,1147,250,7
2020-03-13,21.167643665902908,22.317849497224117,20.20108457756428,22.279186248779297,160945700,2.116764919659836,1.111542582876389,5.25,XLF,7119,1345,261,11
2020-03-16,18.702920156117997,20.626372667548345,18.296965234276673,19.22486114501953,110661600,2.3294074332716725,0.5219409889015338,2.79,XLF,14742,2917,316,21
2020-03-17,19.669474207883905,20.48138384062234,18.886562006159277,20.268739700317383,122295100,1.5948218344630618,0.5992654924334779,3.05,XLF,18764,4022,348,32
2020-03-18,18.992887517059117,19.37951082032106,17.668702472941305,18.54827117919922,145056400,1.7108083473797535,-0.4446163378598982,-2.34,XLF,24854,6090,419,71
2020-03-19,18.161643676164545,19.22485705338174,17.50438329082416,18.954221725463867,105652800,1.7204737625575817,0.7925780492993226,4.36,XLF,32039,7185,484,65
2020-03-20,19.15720036072985,19.253856635879302,18.045657805423936,18.277631759643555,157840900,1.2081988304553661,-0.8795686010862944,-4.59,XLF,40311,8272,586,102
2020-03-23,17.974481897789037,18.130442541914093,17.04846394649869,17.21417236328125,144547900,1.0819785954154035,-0.7603095345077868,-4.23,XLF,73379,11415,1007,171
2020-03-24,18.23766635971649,19.456110190029914,18.110949019410896,19.348888397216797,158551100,1.3451611706190185,1.1112220375003083,6.09,XLF,85608,12229,1241,234
2020-03-25,19.631566813509586,20.694050004708846,18.900500499887954,19.875255584716797,162949600,1.7935495048208914,0.24368877120721066,1.24,XLF,100464,14856,1553,312
2020-03-26,20.138439148947963,21.269154856229243,20.10919582818807,21.122941970825195,129753900,1.1599590280411718,0.984502821877232,4.89,XLF,119910,19446,1906,353
2020-03-27,20.265159269982995,21.122942933526147,20.031216411637068,20.479604721069336,109305600,1.091726521889079,0.21444545108634117,1.06,XLF,140607,20697,2410,504
2020-03-30,20.50884661062652,20.986476349591417,20.07995387921405,20.869504928588867,67297200,0.906522470377368,0.36065831796234704,1.76,XLF,204520,21727,4320,785
2020-03-31,20.674553125128334,20.908495966512717,20.118943060035146,20.29439926147461,83819900,0.7895529064775708,-0.3801538636537245,-1.84,XLF,227644,23124,5330,1010
2020-04-01,19.222167850556996,19.4366151395495,18.8810050893373,19.056459426879883,79185000,0.5556100502121986,-0.16570842367711336,-0.86,XLF,256277,28633,6470,1140
2020-04-02,18.939488929141277,19.690050684992823,18.871256380281594,19.534090042114258,68398300,0.8187943047112292,0.5946011129729811,3.14,XLF,286513,30236,7819,1349
2020-04-03,19.348887447473867,19.63156543544847,18.871257712539254,19.144187927246094,68418100,0.7603077229092143,-0.2046995202277735,-1.06,XLF,318258,31745,9213,1394
2020-04-06,20.099451597667912,20.68430318828113,19.953236840816743,20.51859474182129,69015100,0.7310663474643881,0.4191431441533773,2.09,XLF,406598,28541,14460,1741
2020-04-07,21.639561612098635,21.659055298989912,20.713543624050285,20.723291397094727,70950900,0.9455116749396275,-0.9162702150039088,-4.23,XLF,436730,30132,16591,2131
2020-04-08,21.035214853045826,21.76628117350738,20.801273853601867,21.62981605529785,80003400,0.9650073199055136,0.5946012022520257,2.83,XLF,470181,33451,18815,2224
2020-04-09,22.19517272311434,23.062704114400642,22.156181629071153,22.789772033691406,147845500,0.9065224853294893,0.5945993105770668,2.68,XLF,505025,34844,21057,2242
2020-04-13,22.721540929461604,22.741036477728315,21.766281374766624,21.961233139038086,66236300,0.9747551029616908,-0.7603077904235178,-3.35,XLF,622159,25232,29391,1966
2020-04-14,22.487599032368795,22.555831589387353,21.64930908226025,22.058706283569336,96169000,0.9065225071271037,-0.42889274879945916,-1.91,XLF,647647,25488,31912,2521
2020-04-15,21.181427291928102,21.308146492579887,20.99622516666435,21.10344696044922,63482000,0.311921325915538,-0.07798033147888361,-0.37,XLF,673316,25669,34604,2692
2020-04-16,21.054708940273535,21.093698174543405,20.528340333647805,20.73303985595703,68907600,0.5653578408956008,-0.321669084316504,-1.53,XLF,704834,31518,37039,2435
2020-04-17,21.54208626335424,21.951483445162697,21.366630062693808,21.824764251708984,88698600,0.5848533824688893,0.2826779883547452,1.31,XLF,735111,30277,39357,2318
2020-04-20,21.39587358802832,21.795523000394248,21.20092183893377,21.444610595703125,59063100,0.5946011614604778,0.04873700767480571,0.23,XLF,816776,26252,45456,2156
2020-04-21,20.791526010527285,21.161932126950965,20.674554581594773,20.75253677368164,71957900,0.4873775453561926,-0.03898923684564437,-0.19,XLF,841866,25090,48073,2617
2020-04-22,21.18142802671358,21.239914671749965,20.927991475816032,20.976730346679688,47507800,0.31192319593393236,-0.20469768003389177,-0.97,XLF,873079,31213,50322,2249
2020-04-23,21.035212817065776,21.30814488626577,20.85975661966561,20.888999938964844,71740200,0.4483882666001584,-0.14621287810093264,-0.7,XLF,905137,32058,52283,1961
2020-04-24,21.11319512788281,21.27890356776435,20.791526022136033,21.19117546081543,33825300,0.48737754562831626,0.07798033293261852,0.37,XLF,938891,33754,54386,2103
2020-04-27,21.40561968740214,22.029464174383474,21.366630452764504,21.912492752075195,109435100,0.6628337216189699,0.506873064673055,2.37,XLF,1024179,24135,59389,1578
2020-04-28,22.575327540401265,22.7410359786359,22.097697773536208,22.146434783935547,46452300,0.6433382050996919,-0.4288927564657179,-1.9,XLF,1047590,23411,61527,2138
